id,severity,package,category,title,evidence,impact,remediation,blocking_gate
V26-P0-001,P0,v2.6 PATCH_CANDIDATE,독립검증,offline verifier가 artifact 파일 집합·해시만 확인하고 receipt graph와 의미 검증을 수행하지 않음,tools/model_tier_b_offline_verifier.py:88-129; PoC V26_OFFLINE_VERIFIER_SECRET_BIN_AND_NO_RECEIPTS=REPRODUCED,"영수증 0개, 실행 0회인 패키지도 OFFLINE_ARTIFACT_VERIFY=1이 되어 독립 증거 PASS를 위조할 수 있음","final pointer와 필수 receipt 유형을 강제하고 worker FSM, schedule, DLP, egress, memory, dual, terminal을 원시 safe field에서 재계산하는 verifier로 전면 교체",M3_START
V26-P0-002,P0,v2.6 PATCH_CANDIDATE,정보보호,artifact scanner가 확장자 allowlist 밖 파일과 NUL 포함 파일을 검사하지 않음,butler_bench/artifact.py:36-49; tools/model_tier_b_offline_verifier.py:80-85; secret/raw payload.bin PoC PASS,원문·비밀번호·키를 .bin 등으로 숨겨도 manifest와 독립 verifier가 통과함,모든 파일을 byte-level 검사하고 허용 바이너리는 별도 schema·MIME·digest allowlist로만 허용; NUL은 skip이 아니라 BLOCK,M3_START
V26-P0-003,P0,v2.6 PATCH_CANDIDATE,OS egress,"controller_type=mock, 존재하지 않는 PID, 자체 작성 probe 값으로 egress receipt 통과",butler_bench/receipts.py:44-94; PoC V26_FORGED_MOCK_EGRESS_RECEIPT=REPRODUCED,실제 OS 외부 통신 차단이 전혀 없어도 egress-zero 증거를 만들 수 있음,승인 controller binary digest·서명·실행 PID·process-group·활성구간·정책 digest를 신뢰 루트에 결속하고 verifier가 OS 상태와 probe transcript를 재검증,M3_START
V26-P0-004,P0,v2.6 PATCH_CANDIDATE,이중상주,존재하지 않는 PID와 임의 overlap/count를 가진 dual receipt 통과,butler_bench/receipts.py:129-174; PoC V26_FORGED_DUAL_RESIDENT_RECEIPT=REPRODUCED,실제 1.7B·4B 동시 상주와 양쪽 inference 없이 dual-resident PASS를 위조 가능,두 worker stream·model manifest·PID ancestry·OS sampler·inference event를 digest로 결속하고 overlap을 verifier가 재계산,M3_START
V26-P0-005,P0,v2.6 PATCH_CANDIDATE,worker/TTFT,실제 모델 실행 없이 합성한 7개 JSONL 이벤트가 정상 worker stream과 TTFT로 통과,butler_bench/worker_protocol.py:107-161; PoC V26_SYNTHETIC_WORKER_NO_INFERENCE=REPRODUCED,"child self-report만으로 MODEL_LOADED, FIRST_CHUNK, RESULT를 위조할 수 있음","parent nonce challenge, worker executable/model identity attestation, parent-observed first-byte timestamp, output digest 결속, pre/post model rehash 도입",M3_START
V26-P0-006,P0,v2.6 PATCH_CANDIDATE,제품경로,run_product_matrix가 fixture list comprehension일 뿐 5 epoch·warmup·AB/BA·cooldown·계측을 수행하지 않음,butler_bench/product_bridge.py:102-105,함수명은 존재하지만 지시서의 canonical benchmark 실행기가 아님,승인 schedule을 소비해 epoch/warmup/measured/cooldown/thermal/memory/receipt 생성까지 단일 owner 경로에서 실행,M3_START
V26-P0-007,P0,v2.6 PATCH_CANDIDATE,제품경로,Box3ProductPipelineRuntime가 endpoint 1회 호출만 하며 same-request 4B repair와 cascade evidence를 구현하지 않음,butler_bench/product_bridge.py:50-99,v2.5의 핵심 soft-only exactly-once repair 요구를 닫지 못함,"휘발성 primary draft 채널, soft allowlist, 정확히 1회 4B repair, primary/repair/cascade/final terminal receipt를 실제 endpoint에 결속",M3_START
V26-P0-008,P0,v2.6 PATCH_CANDIDATE,독립검증,verify_samples_first가 caller가 준 validator를 그대로 신뢰,butler_bench/product_bridge.py:154-161,validator=lambda _:None으로 모든 sample을 통과시킬 수 있어 독립 검증이 아님,고정 schema registry와 내장 verifier만 사용하고 외부 callable 주입 금지,M3_START
V26-P0-009,P0,v2.6 PATCH_CANDIDATE,모델신원,worker stream의 model manifest digest가 실제 파일 rehash와 결속되지 않음,worker_protocol MODEL_LOADED payload는 model_manifest_sha256/process_id만 수용; product bridge에서 verify_model_manifest 호출 없음,승인 모델과 다른 파일로 추론해도 self-report digest로 통과 가능,"worker 내부 O_NOFOLLOW pre-load hash, generation 직전 hash, post-run hash를 승인 manifest와 비교하고 receipt graph에 결속",M3_START
V26-P0-010,P0,v2.6 PATCH_CANDIDATE,정책,PyYAML safe_load가 duplicate key를 거부하지 않음,butler_bench/policy.py:198-204; epochs 999 후 epochs 5 중복 정책 PoC가 ACCEPT,검토자가 본 값과 런타임 해석값이 달라지는 정책 혼동·서명 우회 위험,strict duplicate-key loader 또는 JSON 정본만 승인; duplicate key는 POLICY_YAML_DUPLICATE_KEY로 BLOCK,M3_START
V26-P0-011,P0,v2.6 PATCH_CANDIDATE,테스트,핵심 제품 entrypoint 5개가 제출 테스트에서 한 번도 참조되지 않음,독립 name-reference scan: Box3ProductPipelineRuntime/run_product_matrix/run_cold_worker_handshake/measure_dual_resident_pressure/verify_samples_first 모두 0; product_bridge coverage 40%,28 tests와 44 mutations가 실제 제품 실행 경로를 증명하지 못함,실제 저장소 endpoint와 subprocess를 사용하는 integration/E2E/negative-control 테스트 및 critical branch coverage 90% 이상,M3_START
V26-P0-012,P0,v2.6 PATCH_CANDIDATE,실행증거,actual product import·10-job CI·Apple typecheck·M3가 미실행,"evidence/local_verification.json: product import BLOCKED(jsonschema), CI NOT_EXECUTED, Swift NOT EXECUTED, M3 NOT_TARGET_EXECUTED","CODE_IMPLEMENTATION_PASS, M3_START, 성능 우열을 선언할 근거가 없음",잠긴 의존성 복원→clean committed tree→actual integration→CI→Apple target preflight→M3 순서 강제,M3_START
V26-P1-013,P1,v2.6 PATCH_CANDIDATE,프로세스안전,Popen.communicate가 stdout/stderr 전체를 메모리에 모으며 자식·후손 종료 확인이 없음,butler_bench/product_bridge.py:108-132,대량 출력으로 parent 메모리 고갈 가능; timeout 후 descendant가 남을 수 있음,"selectors/async bounded drain, per-stream byte cap, deadline, process-group kill 후 descendant 0 확인",M3_START
V26-P1-014,P1,v2.6 PATCH_CANDIDATE,모델신원,외부 파일에 대한 단일 hardlink가 model tree 안에서 허용됨,model_manifest.py는 tree 내부 inode 중복만 차단하고 st_nlink를 검사하지 않음; PoC nlink=2 ACCEPT,tree 밖 파일 변경 또는 공유 inode 신뢰 경계가 남음,모든 regular leaf에 st_nlink==1 강제 또는 승인된 content-addressed immutable store 정책 명시,M3_START
V26-P1-015,P1,v2.6 PATCH_CANDIDATE,증거출처,memory/environment/dual validator가 self-reported 숫자의 형식만 주로 확인하고 sampler/controller 실행 신원을 결속하지 않음,butler_bench/receipts.py,조작된 정수와 PID로 메모리·환경 PASS 생성 가능,"승인 sampler binary, PID ancestry, sample timestamps, raw OS counters digest, worker intervals를 signed receipt에 결속",M3_START
V26-P1-016,P1,v2.6 PATCH_CANDIDATE,provenance,패키지 내부 input_zip_sha256과 실제 제공 ZIP SHA-256이 다름,source_provenance.json=7b2d5f...; 실제 입력 ZIP=87a830e2...,재압축 가능성은 있으나 현재 전달 바이트를 provenance가 직접 결속하지 못함,최종 전달 ZIP 생성 후 외부 SHA256SUMS와 signed attestation을 마지막 단계에서 생성,M3_START
ALG-P0-001,P0,AlgorithmTeam12 v2.5.1,독립검증,receipt 디렉터리와 final pointer가 모두 없으면 receipt_count=0으로 PASS,offline_verifier/verify.py:142-146; PoC ALG_OFFLINE_MANIFEST_ONLY_SECRET_NO_RECEIPTS=REPRODUCED,실행 증거가 전혀 없는 artifact를 독립검증 PASS로 오인 가능,artifact profile별 mandatory receipt set과 final pointer를 필수화; 0 receipt는 EVIDENCE_MISSING,M3_START
ALG-P0-002,P0,AlgorithmTeam12 v2.5.1,정보보호,safe_logs 디렉터리만 민감정보 검사하고 다른 artifact 파일은 검사하지 않음,offline_verifier/verify.py:188-203; hidden.bin의 password/raw_output PoC PASS,원문·비밀을 다른 경로/확장자로 숨길 수 있음,manifest에 포함된 모든 파일 byte scan 및 허용 형식 registry 적용,M3_START
ALG-P0-003,P0,AlgorithmTeam12 v2.5.1,사전게이트,9개 gate가 모두 caller boolean이며 출처·digest·서명이 없음,butler_bench/preflight.py:17-32; forged all-true preflight PoC ACCEPT,CI·egress·제품검증 없이 M3 owner script를 시작할 수 있음,각 gate를 독립 receipt digest로 교체하고 verifier가 원본 CI/OS/source evidence에서 계산,M3_START
ALG-P0-004,P0,AlgorithmTeam12 v2.5.1,제품신원,임의 Python 모듈이 이름만 맞추면 실제 Butler 제품 모듈로 승인됨,butler_bench/product_bridge.py:22-55; worldclass_product fake module PoC ACCEPT,가짜 entrypoint/adapter로 제품 통합 PASS를 위조 가능,repo URI+commit+tree+blob SHA+허용 module path+symbol owner blob을 승인 정책에 결속,M3_START
ALG-P0-005,P0,AlgorithmTeam12 v2.5.1,사전게이트,owner_runner를 직접 실행하면 canonical_preflight.sh를 우회할 수 있음,scripts/run_m3_owner.sh만 preflight를 호출하고 butler_bench/owner_runner.py:18-77 자체에는 9-gate 검증 없음,직접 python -m butler_bench.owner_runner 호출로 M3 시작 방어선 우회,owner runner 내부에서 signed preflight receipt를 mandatory argument로 검증하고 없으면 즉시 BLOCK,M3_START
ALG-P0-006,P0,AlgorithmTeam12 v2.5.1,OS egress,owner runner가 OS egress controller를 활성화·유지·종료하지 않음,owner_runner.py는 policy/model/schedule/adapter/offline verifier만 호출,제품 adapter가 네트워크를 사용해도 owner가 차단을 보장하지 못함,owner가 승인 controller lifecycle을 소유하고 child process group 전체를 정책에 등록,M3_START
ALG-P0-007,P0,AlgorithmTeam12 v2.5.1,semantic verifier,evaluator_sha256가 64자 길이만 검사되어 비-hex 값도 통과,live_verifier.py:28-31; Z×64 PoC ACCEPT,승인 evaluator 신원 검증이 형식적으로 무력화됨,^[0-9a-f]{64}$ 검사와 실제 evaluator bundle/file digest 비교,M3_START
ALG-P0-008,P0,AlgorithmTeam12 v2.5.1,semantic verifier,evaluator callables와 evaluator_sha256가 cryptographically 결속되지 않음,EvaluatorBundle은 임의 callable 3개와 문자열 digest를 독립 입력으로 받음,공격자가 PASS를 반환하는 callable에 승인 digest 문자열을 붙일 수 있음,evaluator code/model/config artifact를 content-addressed bundle로 로드하고 runtime code object가 아닌 파일 digest를 verifier가 재계산,M3_START
ALG-P0-009,P0,AlgorithmTeam12 v2.5.1,증거,제품 adapter가 evidence_root와 final receipt pointer를 스스로 반환하고 offline verifier는 구조만 검증,owner_runner.py:39-76; offline_verifier semantic_reverification_claimed=false,adapter가 self-consistent한 거짓 receipt graph를 만들 수 있음,독립 observer가 worker/sampler/controller transcript를 직접 수집하고 semantic·schedule·policy를 재계산,M3_START
ALG-P0-010,P0,AlgorithmTeam12 v2.5.1,테스트,실제 제품 entrypoint 5개 실행 테스트가 패키지에 없음,test name-reference scan 0; product_bridge coverage 37%; ACTUAL_PRODUCT_INTEGRATION_PASS=NO,84 tests·44 mutations는 독립 하네스 계약만 증명,실 Butler 저장소를 checkout한 macOS integration job에서 5 entrypoint 및 observer coverage를 실제 호출,M3_START
ALG-P0-011,P0,AlgorithmTeam12 v2.5.1,실행증거,base full SHA·승인 policy·CI·M3·live/offline M3 evidence가 전부 NO,README current verdict,제품 및 성능 완료 판정 불가,기준 revision 확정과 actual integration 이후에만 다음 gate 진행,M3_START
ALG-P1-012,P1,AlgorithmTeam12 v2.5.1,worker,"communicate 기반 무제한 buffering, child self-reported clock/token, descendant 종료 증거 없음",worker_protocol.py:103-125 및 verify_worker_stream,"메모리 DoS, 가짜 TTFT, timeout 후 잔존 프로세스 가능","bounded concurrent drain, parent clock, nonce, process-tree census 도입",M3_START
ALG-P1-013,P1,AlgorithmTeam12 v2.5.1,CI,closed_world_schema와 raw_path_secret_scan이 동일 test_evidence_security.py를 반복 실행,.github/workflows/model-tier-b.yml:67-81,10-job 외형과 달리 독립 보안 통제 2개가 아님,별도 artifact corpus scanner 및 schema corpus job으로 분리,M3_START
