defect_id,severity,source_package,category,title,v2_8_requirement,acceptance_ids,attack_ids,blocking_gate,closure_rule,current_status
V26-P0-001,P0,v2.6 PATCH_CANDIDATE,독립검증,offline verifier가 artifact 파일 집합·해시만 확인하고 receipt graph와 의미 검증을 수행하지 않음,"approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-002,P0,v2.6 PATCH_CANDIDATE,정보보호,artifact scanner가 확장자 allowlist 밖 파일과 NUL 포함 파일을 검사하지 않음,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",AC-SCN-01;AC-SCN-02;AC-SCN-03,ATK-002;ATK-003;ATK-004,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-003,P0,v2.6 PATCH_CANDIDATE,OS egress,"controller_type=mock, 존재하지 않는 PID, 자체 작성 probe 값으로 egress receipt 통과","approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-004,P0,v2.6 PATCH_CANDIDATE,이중상주,존재하지 않는 PID와 임의 overlap/count를 가진 dual receipt 통과,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-005,P0,v2.6 PATCH_CANDIDATE,worker/TTFT,실제 모델 실행 없이 합성한 7개 JSONL 이벤트가 정상 worker stream과 TTFT로 통과,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-006,P0,v2.6 PATCH_CANDIDATE,제품경로,run_product_matrix가 fixture list comprehension일 뿐 5 epoch·warmup·AB/BA·cooldown·계측을 수행하지 않음,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",AC-BOX-01;AC-BOX-02;AC-BOX-03,ATK-036;ATK-037;ATK-038,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-007,P0,v2.6 PATCH_CANDIDATE,제품경로,Box3ProductPipelineRuntime가 endpoint 1회 호출만 하며 same-request 4B repair와 cascade evidence를 구현하지 않음,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",AC-BOX-01;AC-BOX-02;AC-BOX-03,ATK-036;ATK-037;ATK-038,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-008,P0,v2.6 PATCH_CANDIDATE,독립검증,verify_samples_first가 caller가 준 validator를 그대로 신뢰,producer-independent structural and semantic recomputation with stable exits,AC-VER-01;AC-VER-02;AC-VER-03,ATK-041;ATK-042,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-009,P0,v2.6 PATCH_CANDIDATE,모델신원,worker stream의 model manifest digest가 실제 파일 rehash와 결속되지 않음,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-010,P0,v2.6 PATCH_CANDIDATE,정책,PyYAML safe_load가 duplicate key를 거부하지 않음,"strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-011,P0,v2.6 PATCH_CANDIDATE,테스트,핵심 제품 entrypoint 5개가 제출 테스트에서 한 번도 참조되지 않음,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P0-012,P0,v2.6 PATCH_CANDIDATE,실행증거,actual product import·10-job CI·Apple typecheck·M3가 미실행,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",AC-EVD-01;AC-EVD-02;AC-EVD-03,ATK-001;ATK-045;ATK-046,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P1-013,P1,v2.6 PATCH_CANDIDATE,프로세스안전,Popen.communicate가 stdout/stderr 전체를 메모리에 모으며 자식·후손 종료 확인이 없음,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",AC-MEM-01;AC-MEM-02;AC-MEM-03,ATK-053;ATK-054;ATK-055,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P1-014,P1,v2.6 PATCH_CANDIDATE,모델신원,외부 파일에 대한 단일 hardlink가 model tree 안에서 허용됨,"strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P1-015,P1,v2.6 PATCH_CANDIDATE,증거출처,memory/environment/dual validator가 self-reported 숫자의 형식만 주로 확인하고 sampler/controller 실행 신원을 결속하지 않음,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
V26-P1-016,P1,v2.6 PATCH_CANDIDATE,provenance,패키지 내부 input_zip_sha256과 실제 제공 ZIP SHA-256이 다름,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-001,P0,AlgorithmTeam12 v2.5.1,독립검증,receipt 디렉터리와 final pointer가 모두 없으면 receipt_count=0으로 PASS,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",AC-SCN-01;AC-SCN-02;AC-SCN-03,ATK-002;ATK-003;ATK-004,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-002,P0,AlgorithmTeam12 v2.5.1,정보보호,safe_logs 디렉터리만 민감정보 검사하고 다른 artifact 파일은 검사하지 않음,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",AC-SCN-01;AC-SCN-02;AC-SCN-03,ATK-002;ATK-003;ATK-004,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-003,P0,AlgorithmTeam12 v2.5.1,사전게이트,9개 gate가 모두 caller boolean이며 출처·digest·서명이 없음,"approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-004,P0,AlgorithmTeam12 v2.5.1,제품신원,임의 Python 모듈이 이름만 맞추면 실제 Butler 제품 모듈로 승인됨,"strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-005,P0,AlgorithmTeam12 v2.5.1,사전게이트,owner_runner를 직접 실행하면 canonical_preflight.sh를 우회할 수 있음,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",AC-EVD-01;AC-EVD-02;AC-EVD-03,ATK-001;ATK-045;ATK-046,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-006,P0,AlgorithmTeam12 v2.5.1,OS egress,owner runner가 OS egress controller를 활성화·유지·종료하지 않음,"approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-007,P0,AlgorithmTeam12 v2.5.1,semantic verifier,evaluator_sha256가 64자 길이만 검사되어 비-hex 값도 통과,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
