attack_id,name,area,mutation,expected_exit,expected_fail_class,must_block,linked_acceptance_ids
ATK-001,manifest_only_no_receipts,evidence DAG,construct artifact/runtime with manifest_only_no_receipts,nonzero,EVIDENCE,YES,AC-EVD-01;AC-EVD-02;AC-EVD-03
ATK-002,secret_payload_bin,artifact scanner,construct artifact/runtime with secret_payload_bin,nonzero,SECURITY_PRIVACY,YES,AC-SCN-01;AC-SCN-02;AC-SCN-03
ATK-003,nul_secret_file,artifact scanner,construct artifact/runtime with nul_secret_file,nonzero,SECURITY_PRIVACY,YES,AC-SCN-01;AC-SCN-02;AC-SCN-03
ATK-004,archive_zip_bomb,artifact scanner,construct artifact/runtime with archive_zip_bomb,nonzero,SECURITY_PRIVACY,YES,AC-SCN-01;AC-SCN-02;AC-SCN-03
ATK-005,archive_path_traversal,artifact scanner,construct artifact/runtime with archive_path_traversal,nonzero,SECURITY_PRIVACY,YES,AC-SCN-01;AC-SCN-02;AC-SCN-03
ATK-006,utf16_secret,artifact scanner,construct artifact/runtime with utf16_secret,nonzero,SECURITY_PRIVACY,YES,AC-SCN-01;AC-SCN-02;AC-SCN-03
ATK-007,forged_mock_egress,OS egress,construct artifact/runtime with forged_mock_egress,nonzero,EGRESS,YES,AC-EGR-01;AC-EGR-02;AC-EGR-03
ATK-008,nonexistent_pid_egress,OS egress,construct artifact/runtime with nonexistent_pid_egress,nonzero,EGRESS,YES,AC-EGR-01;AC-EGR-02;AC-EGR-03
ATK-009,ipv6_only_escape,OS egress,construct artifact/runtime with ipv6_only_escape,nonzero,EGRESS,YES,AC-EGR-01;AC-EGR-02;AC-EGR-03
ATK-010,dns_subprocess_escape,OS egress,construct artifact/runtime with dns_subprocess_escape,nonzero,EGRESS,YES,AC-EGR-01;AC-EGR-02;AC-EGR-03
ATK-011,controller_interval_gap,OS egress,construct artifact/runtime with controller_interval_gap,nonzero,EGRESS,YES,AC-EGR-01;AC-EGR-02;AC-EGR-03
ATK-012,forged_dual_receipt,dual resident,construct artifact/runtime with forged_dual_receipt,nonzero,DUAL_RESIDENT,YES,AC-DUAL-01;AC-DUAL-02;AC-DUAL-03
ATK-013,same_model_both_candidates,dual resident,construct artifact/runtime with same_model_both_candidates,nonzero,DUAL_RESIDENT,YES,AC-DUAL-01;AC-DUAL-02;AC-DUAL-03
ATK-014,no_inference_overlap,dual resident,construct artifact/runtime with no_inference_overlap,nonzero,DUAL_RESIDENT,YES,AC-DUAL-01;AC-DUAL-02;AC-DUAL-03
ATK-015,synthetic_worker_events,worker/timing,construct artifact/runtime with synthetic_worker_events,nonzero,PROTOCOL,YES,AC-WRK-01;AC-WRK-02;AC-WRK-03
ATK-016,worker_replays_nonce,worker/timing,construct artifact/runtime with worker_replays_nonce,nonzero,PROTOCOL,YES,AC-WRK-01;AC-WRK-02;AC-WRK-03
