acceptance_id,priority,area,requirement,assertion,evidence_required,expected,owner,ci_job,blocking_gate
AC-SRC-01,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-SRC-02,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-SRC-03,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-SRC-04,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-SRC-05,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-SRC-06,P0,source/provenance,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-POL-01,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-POL-02,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-POL-03,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-POL-04,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-POL-05,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-POL-06,P0,policy/trust,"strict canonical JSON, approval scope, expiry, trust root and signature claims","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,policy_complete,MERGE_AND_M3
AC-BOX-01,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-BOX-02,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-BOX-03,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-BOX-04,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-BOX-05,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-BOX-06,P0,product/repair,"five production entrypoints, same-request soft-only exactly-once repair and terminal order","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,MERGE_AND_M3
AC-WRK-01,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
AC-WRK-02,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
AC-WRK-03,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
AC-WRK-04,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
AC-WRK-05,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
AC-WRK-06,P0,worker/timing,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,mutation_adversarial,MERGE_AND_M3
